NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1827
BEGIN_DATA
1	200.00	200.00	200.00
2	150.00	150.00	150.00
3	100.00	100.00	100.00
4	 50.00	 50.00	 50.00
5	255.00	180.00	255.00
6	255.00	255.00	180.00
7	180.00	255.00	255.00
8	255.00	  0.00	255.00
9	255.00	255.00	  0.00
10	  0.00	255.00	255.00
11	200.00	200.00	200.00
12	150.00	150.00	150.00
13	100.00	100.00	100.00
14	 50.00	 50.00	 50.00
15	255.00	180.00	255.00
16	255.00	255.00	180.00
17	180.00	255.00	255.00
18	255.00	  0.00	255.00
19	255.00	255.00	  0.00
20	  0.00	255.00	255.00
21	200.00	200.00	200.00
22	200.00	200.00	200.00
23	150.00	150.00	150.00
24	100.00	100.00	100.00
25	 50.00	 50.00	 50.00
26	255.00	180.00	255.00
27	255.00	255.00	180.00
28	180.00	255.00	255.00
29	255.00	  0.00	255.00
30	255.00	255.00	  0.00
31	  0.00	255.00	255.00
32	200.00	200.00	200.00
33	150.00	150.00	150.00
34	100.00	100.00	100.00
35	 50.00	 50.00	 50.00
36	255.00	180.00	255.00
37	255.00	255.00	180.00
38	180.00	255.00	255.00
39	255.00	  0.00	255.00
40	255.00	255.00	  0.00
41	  0.00	255.00	255.00
42	200.00	200.00	200.00
43	200.00	200.00	200.00
44	150.00	150.00	150.00
45	100.00	100.00	100.00
46	 50.00	 50.00	 50.00
47	255.00	180.00	255.00
48	255.00	255.00	180.00
49	180.00	255.00	255.00
50	255.00	  0.00	255.00
51	255.00	255.00	  0.00
52	  0.00	255.00	255.00
53	200.00	200.00	200.00
54	150.00	150.00	150.00
55	100.00	100.00	100.00
56	 50.00	 50.00	 50.00
57	255.00	180.00	255.00
58	255.00	255.00	180.00
59	180.00	255.00	255.00
60	255.00	  0.00	255.00
61	255.00	255.00	  0.00
62	  0.00	255.00	255.00
63	200.00	200.00	200.00
64	150.00	150.00	150.00
65	100.00	100.00	100.00
66	 50.00	 50.00	 50.00
67	255.00	180.00	255.00
68	255.00	255.00	180.00
69	180.00	255.00	255.00
70	255.00	  0.00	255.00
71	255.00	255.00	  0.00
72	  0.00	255.00	255.00
73	200.00	200.00	200.00
74	150.00	150.00	150.00
75	100.00	100.00	100.00
76	 50.00	 50.00	 50.00
77	255.00	180.00	255.00
78	255.00	255.00	180.00
79	180.00	255.00	255.00
80	255.00	  0.00	255.00
81	255.00	255.00	  0.00
82	  0.00	255.00	255.00
83	200.00	200.00	200.00
84	150.00	150.00	150.00
85	150.00	150.00	150.00
86	100.00	100.00	100.00
87	 50.00	 50.00	 50.00
88	255.00	180.00	255.00
89	255.00	255.00	180.00
90	180.00	255.00	255.00
91	255.00	  0.00	255.00
92	255.00	255.00	  0.00
93	  0.00	255.00	255.00
94	200.00	200.00	200.00
95	150.00	150.00	150.00
96	100.00	100.00	100.00
97	 50.00	 50.00	 50.00
98	255.00	180.00	255.00
99	255.00	255.00	180.00
100	180.00	255.00	255.00
101	255.00	  0.00	255.00
102	255.00	255.00	  0.00
103	  0.00	255.00	255.00
104	200.00	200.00	200.00
105	150.00	150.00	150.00
106	150.00	150.00	150.00
107	100.00	100.00	100.00
108	 50.00	 50.00	 50.00
109	255.00	180.00	255.00
110	255.00	255.00	180.00
111	180.00	255.00	255.00
112	255.00	  0.00	255.00
113	255.00	255.00	  0.00
114	  0.00	255.00	255.00
115	200.00	200.00	200.00
116	150.00	150.00	150.00
117	100.00	100.00	100.00
118	 50.00	 50.00	 50.00
119	255.00	180.00	255.00
