NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1827
BEGIN_DATA
1	 79.00	 99.00	  0.00
2	  3.00	114.00	 97.00
3	110.00	100.00	 50.00
4	 53.00	 48.00	  0.00
5	120.00	 54.00	  0.00
6	111.00	112.00	116.00
7	 57.00	 53.00	 55.00
8	  0.00	250.00	  0.00
9	115.00	  1.00	189.00
10	  3.00	  0.00	  0.00
11	154.00	115.00	115.00
12	219.00	 36.00	182.00
13	141.00	 79.00	205.00
14	 90.00	212.00	 66.00
15	128.00	128.00	 26.00
16	164.00	164.00	128.00
17	 11.00	  8.00	233.00
18	128.00	128.00	 18.00
19	 55.00	 18.00	164.00
20	204.00	102.00	 51.00
21	 18.00	237.00	128.00
22	153.00	255.00	255.00
23	  0.00	  0.00	255.00
24	250.00	250.00	250.00
25	102.00	153.00	 51.00
26	 73.00	 36.00	255.00
27	109.00	 36.00	255.00
28	164.00	 55.00	164.00
29	 35.00	 23.00	 23.00
30	 58.00	 37.00	195.00
31	 40.00	 40.00	 40.00
32	114.00	126.00	114.00
33	128.00	 91.00	164.00
34	164.00	237.00	128.00
35	102.00	153.00	153.00
36	 91.00	 55.00	 55.00
37	 26.00	179.00	179.00
38	 64.00	 64.00	 64.00
39	 55.00	164.00	200.00
40	  0.00	  0.00	255.00
41	130.00	130.00	130.00
42	 26.00	230.00	 26.00
43	 91.00	 55.00	 18.00
44	255.00	  0.00	255.00
45	109.00	219.00	255.00
46	 55.00	 55.00	200.00
47	255.00	255.00	204.00
48	102.00	204.00	255.00
49	128.00	164.00	128.00
50	 89.00	143.00	132.00
51	 55.00	128.00	200.00
52	 36.00	109.00	146.00
53	 18.00	 91.00	 91.00
54	 60.00	 72.00	 60.00
55	215.00	215.00	227.00
56	 51.00	255.00	 51.00
57	 91.00	 91.00	164.00
58	 91.00	237.00	 91.00
59	  0.00	  0.00	204.00
60	146.00	 73.00	  0.00
61	200.00	164.00	 18.00
62	100.00	100.00	100.00
63	 55.00	128.00	164.00
64	242.00	127.00	207.00
65	  0.00	  0.00	 73.00
66	255.00	109.00	182.00
67	131.00	  3.00	 10.00
68	 18.00	 55.00	164.00
69	 91.00	200.00	200.00
70	153.00	255.00	204.00
71	156.00	133.00	232.00
72	109.00	109.00	146.00
73	164.00	164.00	164.00
74	 55.00	 55.00	 91.00
75	 91.00	237.00	128.00
76	 55.00	 91.00	128.00
77	  0.00	204.00	 51.00
78	 32.00	 75.00	 28.00
79	115.00	111.00	 63.00
80	255.00	 73.00	182.00
81	100.00	136.00	116.00
82	198.00	 52.00	245.00
83	219.00	 36.00	 73.00
84	109.00	  0.00	109.00
85	109.00	109.00	219.00
86	132.00	172.00	198.00
87	164.00	164.00	 55.00
88	184.00	121.00	139.00
89	219.00	109.00	 36.00
90	217.00	217.00	255.00
91	  0.00	219.00	219.00
92	182.00	109.00	 73.00
93	 85.00	148.00	 99.00
94	210.00	210.00	210.00
95	109.00	255.00	 36.00
96	 85.00	 85.00	 85.00
97	  0.00	109.00	146.00
98	 18.00	 91.00	164.00
99	 73.00	109.00	255.00
100	  0.00	102.00	 51.00
101	255.00	255.00	  0.00
102	105.00	 55.00	148.00
103	204.00	204.00	 51.00
104	  0.00	 73.00	255.00
105	 63.00	 51.00	 51.00
106	182.00	146.00	  0.00
107	195.00	246.00	225.00
108	146.00	219.00	  0.00
109	 90.00	105.00	 76.00
110	173.00	173.00	173.00
111	162.00	 92.00	148.00
112	102.00	117.00	122.00
113	128.00	 18.00	 18.00
