CGATS.17
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	250
BEGIN_DATA
1	    0.00	    0.00	    0.00	    1.58	   -1.25	    0.93
2	    5.00	    5.00	    5.00	    3.59	    1.40	    0.67
3	   10.00	   10.00	   10.00	    5.47	    3.47	   -0.14
4	   15.00	   15.00	   15.00	    6.72	    5.43	   -0.73
5	   20.00	   20.00	   20.00	    8.40	    5.62	   -0.79
6	   25.00	   25.00	   25.00	    9.98	    6.03	   -1.09
7	   30.00	   30.00	   30.00	   11.61	    5.80	   -2.07
8	   35.00	   35.00	   35.00	   12.67	    6.03	   -2.09
9	   40.00	   40.00	   40.00	   15.61	    6.00	   -1.98
10	   45.00	   45.00	   45.00	   18.38	    5.21	   -1.74
11	   50.00	   50.00	   50.00	   20.45	    4.70	   -2.11
12	   55.00	   55.00	   55.00	   22.70	    4.16	   -2.09
13	   60.00	   60.00	   60.00	   24.74	    3.74	   -1.77
14	   65.00	   65.00	   65.00	   27.03	    3.61	   -1.52
15	   70.00	   70.00	   70.00	   28.90	    3.81	   -1.46
16	   75.00	   75.00	   75.00	   31.68	    3.59	   -1.01
17	   80.00	   80.00	   80.00	   33.49	    2.99	   -1.32
18	   85.00	   85.00	   85.00	   35.51	    3.26	   -0.56
19	   90.00	   90.00	   90.00	   37.51	    2.88	   -0.75
20	   95.00	   95.00	   95.00	   40.14	    2.36	   -0.17
21	  100.00	  100.00	  100.00	   41.55	    2.53	    0.75
22	  105.00	  105.00	  105.00	   43.26	    2.15	    0.47
23	  110.00	  110.00	  110.00	   45.03	    1.51	    0.81
24	  115.00	  115.00	  115.00	   47.06	    1.33	    0.65
25	  120.00	  120.00	  120.00	   48.93	    0.74	    1.66
26	  125.00	  125.00	  125.00	   51.13	    0.49	    2.05
27	  130.00	  130.00	  130.00	   53.03	    0.36	    2.03
28	  135.00	  135.00	  135.00	   54.89	    0.52	    2.54
29	  140.00	  140.00	  140.00	   56.48	    0.26	    1.96
30	  145.00	  145.00	  145.00	   58.04	    0.18	    2.43
31	  150.00	  150.00	  150.00	   60.43	    0.04	    2.78
32	  155.00	  155.00	  155.00	   62.12	   -0.50	    1.91
33	  160.00	  160.00	  160.00	   64.08	   -0.16	    2.95
34	  165.00	  165.00	  165.00	   65.83	   -0.56	    2.76
35	  170.00	  170.00	  170.00	   67.20	   -0.54	    2.53
36	  175.00	  175.00	  175.00	   69.12	   -1.01	    2.28
37	  180.00	  180.00	  180.00	   71.10	   -0.82	    2.03
38	  185.00	  185.00	  185.00	   71.90	   -0.80	    1.68
39	  190.00	  190.00	  190.00	   73.40	   -0.92	    1.17
40	  195.00	  195.00	  195.00	   75.35	   -1.15	    0.55
41	  200.00	  200.00	  200.00	   76.61	   -1.01	    0.66
42	  205.00	  205.00	  205.00	   77.91	   -0.89	    0.45
43	  210.00	  210.00	  210.00	   79.60	   -0.64	   -0.48
44	  215.00	  215.00	  215.00	   81.22	   -0.88	    0.11
45	  220.00	  220.00	  220.00	   83.15	   -0.05	   -0.44
46	  225.00	  225.00	  225.00	   84.54	   -0.11	   -0.40
47	  230.00	  230.00	  230.00	   86.31	   -0.25	   -0.00
48	  235.00	  235.00	  235.00	   88.40	   -0.26	   -0.49
49	  240.00	  240.00	  240.00	   90.01	   -0.43	   -0.88
50	  245.00	  245.00	  245.00	   91.90	   -0.54	   -1.41
51	  250.00	  250.00	  250.00	   93.68	   -0.89	   -2.06
52	  255.00	  255.00	  255.00	   94.81	   -1.46	   -1.84
53	  195.00	  190.00	  189.00	   74.24	   -0.08	    2.52
54	   70.00	   63.00	   66.00	   27.70	    5.68	   -0.86
55	  106.00	  102.00	   97.00	   42.92	    2.36	    3.41
56	  245.00	  244.00	  255.00	   91.68	    0.28	   -5.40
57	  157.00	  145.00	  151.00	   60.72	    2.87	    3.05
58	  169.00	  171.00	  182.00	   68.81	    0.00	   -2.26
59	   20.00	    9.00	   21.00	    7.40	   11.00	   -2.15
60	  180.00	  178.00	  165.00	   69.51	   -1.91	    7.50
61	  131.00	  127.00	  115.00	   51.92	    0.43	    7.70
62	  243.00	  225.00	  243.00	   88.13	    5.02	   -3.33
63	  230.00	  212.00	  217.00	   83.35	    2.95	    2.18
64	  120.00	  137.00	  130.00	   53.06	   -3.84	    0.90
65	   11.00	   25.00	    8.00	    7.76	   -2.64	    2.80
66	  187.00	  196.00	  208.00	   75.32	   -2.29	   -5.64
67	  102.00	  117.00	  122.00	   47.51	   -1.46	   -5.10
68	  207.00	  208.00	  229.00	   79.53	    0.80	   -8.62
69	   25.00	   21.00	   42.00	   11.40	   11.36	   -8.02
70	  147.00	  160.00	  172.00	   62.81	   -2.06	   -4.28
71	   43.00	   49.00	   66.00	   20.85	    6.15	   -9.60
72	   62.00	   87.00	   75.00	   31.33	   -4.23	   -3.26
73	  133.00	  106.00	  134.00	   50.69	   10.35	   -1.95
74	  179.00	  209.00	  190.00	   75.74	  -10.09	    0.69
75	  207.00	  239.00	  210.00	   83.71	  -10.38	    2.72
76	  130.00	  161.00	  139.00	   58.26	   -9.88	    3.39
77	  208.00	  229.00	  242.00	   82.93	   -4.01	  -10.73
78	  109.00	  132.00	   99.00	   50.06	   -7.49	    7.67
79	   96.00	   75.00	  109.00	   39.76	   13.00	   -7.78
80	  173.00	  137.00	  165.00	   63.57	   10.23	    1.42
81	  166.00	  161.00	  130.00	   63.85	   -3.14	   16.23
82	   96.00	   91.00	  126.00	   42.67	    8.48	  -11.33
83	   64.00	   99.00	   92.00	   36.51	   -6.14	   -6.65
84	   97.00	  116.00	   80.00	   44.13	   -6.07	    9.72
85	   20.00	   55.00	   50.00	   15.88	   -5.76	   -8.01
86	  221.00	  192.00	  179.00	   78.38	    3.88	   12.95
87	   51.00	   14.00	   51.00	   16.69	   22.75	   -5.08
88	  200.00	  188.00	  232.00	   76.49	    5.80	  -13.03
89	    6.00	   30.00	   44.00	    7.96	   -0.66	  -13.68
90	   40.00	   32.00	    2.00	   15.18	    4.58	   14.28
91	  189.00	  209.00	  164.00	   76.86	  -10.20	   14.07
92	  112.00	   70.00	   90.00	   39.47	   15.40	    2.84
93	  160.00	  116.00	  117.00	   55.79	   10.67	   13.08
94	  248.00	  199.00	  210.00	   83.72	   10.46	    7.36
95	  143.00	  190.00	  160.00	   66.99	  -15.66	    2.90
96	   86.00	   43.00	   48.00	   27.14	   17.62	    7.81
97	  179.00	  188.00	  140.00	   70.66	   -7.66	   18.33
98	  195.00	  246.00	  225.00	   83.43	  -14.98	   -4.62
99	  215.00	  163.00	  188.00	   74.18	   13.26	    5.32
100	   32.00	   75.00	   28.00	   21.81	  -11.55	    7.78
101	  104.00	  137.00	  155.00	   53.26	   -5.85	  -12.41
102	   73.00	  123.00	  116.00	   43.93	  -11.75	  -10.35
103	  161.00	  138.00	  109.00	   59.39	    1.76	   19.85
104	  175.00	  168.00	  223.00	   71.51	    6.24	  -17.10
105	  153.00	  184.00	  130.00	   65.81	  -13.60	   15.94
106	   22.00	   52.00	    3.00	   15.68	   -8.32	   13.66
107	  115.00	  111.00	   63.00	   46.72	   -1.40	   21.89
108	   89.00	  143.00	  132.00	   51.08	  -14.91	   -7.26
109	  135.00	  152.00	   97.00	   56.45	   -9.63	   19.31
110	  114.00	  161.00	  170.00	   58.08	  -11.16	  -11.34
111	   95.00	  101.00	   48.00	   41.54	   -3.68	   21.08
112	  193.00	  173.00	  135.00	   70.61	   -0.50	   22.67
113	   62.00	   10.00	   30.00	   16.02	   24.65	    4.77
114	  146.00	  111.00	  170.00	   55.97	   14.75	  -10.62
115	   58.00	  105.00	  115.00	   37.27	   -8.20	  -17.31
116	  103.00	   46.00	   97.00	   33.99	   25.74	   -3.92
117	  255.00	  190.00	  240.00	   83.56	   18.15	   -4.82
118	  235.00	  171.00	  180.00	   77.68	   13.58	   13.91
119	  252.00	  244.00	  187.00	   90.94	   -4.30	   23.74
120	   84.00	   75.00	  134.00	   38.21	   13.49	  -19.56
121	   54.00	   87.00	   30.00	   28.14	   -8.78	   14.19
122	  129.00	  135.00	  192.00	   57.90	    4.83	  -19.86
123	  184.00	  121.00	  139.00	   61.47	   15.91	   11.77
124	   64.00	   63.00	  123.00	   32.24	   12.73	  -22.56
125	  179.00	  124.00	  116.00	   60.78	   11.76	   20.04
126	   85.00	  148.00	   99.00	   49.72	  -20.90	    4.06
127	  132.00	  172.00	  198.00	   64.21	   -7.94	  -16.42
128	  193.00	  242.00	  173.00	   81.54	  -19.36	   15.41
129	   50.00	   49.00	  111.00	   26.79	   15.41	  -24.10
130	  131.00	  198.00	  195.00	   68.15	  -17.57	  -12.31
131	  155.00	  124.00	  191.00	   60.54	   14.09	  -14.26
132	  139.00	  207.00	  177.00	   69.69	  -20.62	   -2.50
133	   68.00	   55.00	    7.00	   24.95	    5.47	   23.88
134	  102.00	  154.00	   88.00	   52.78	  -20.01	   14.04
135	  161.00	  163.00	   96.00	   63.18	   -6.54	   29.27
136	  153.00	  224.00	  208.00	   75.37	  -19.91	   -8.65
137	   16.00	   79.00	   76.00	   19.93	  -13.77	  -16.87
138	   64.00	  130.00	   98.00	   41.92	  -18.84	   -5.31
139	  240.00	  217.00	  167.00	   84.63	   -0.73	   25.92
140	  223.00	  187.00	  151.00	   77.37	    3.86	   24.26
141	  125.00	  133.00	   66.00	   51.60	   -6.60	   26.82
142	  184.00	  155.00	  113.00	   65.96	    1.87	   27.01
143	   34.00	  100.00	   57.00	   26.95	  -18.70	   -1.39
144	  162.00	   92.00	  148.00	   54.37	   22.38	    0.03
145	   33.00	  100.00	   77.00	   28.33	  -16.55	   -9.90
146	   61.00	   78.00	   12.00	   28.45	   -4.39	   23.97
147	  165.00	  179.00	  242.00	   70.24	    2.78	  -25.17
148	   20.00	   43.00	   88.00	   16.56	    6.97	  -25.11
149	  132.00	   61.00	   86.00	   41.83	   23.53	   10.35
150	   84.00	   16.00	   75.00	   24.44	   32.62	   -3.09
151	  240.00	  237.00	  162.00	   87.14	   -6.85	   32.21
152	   64.00	  107.00	  163.00	   42.58	   -0.79	  -30.76
153	   77.00	   83.00	  194.00	   44.81	   16.35	  -41.67
154	  167.00	  237.00	  212.00	   78.48	  -19.78	   -6.39
155	  202.00	  225.00	  193.00	   80.29	   -9.45	    6.90
