CGATS.17
NUMBER_OF_FIELDS	7
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	500
BEGIN_DATA
1	    0.00	    0.00	    0.00	    1.38	   -1.28	    0.91
2	    5.00	    5.00	    5.00	    3.74	    1.25	    0.41
3	   10.00	   10.00	   10.00	    5.49	    3.46	   -0.42
4	   15.00	   15.00	   15.00	    6.38	    4.83	   -0.50
5	   20.00	   20.00	   20.00	    8.03	    6.20	   -1.18
6	   25.00	   25.00	   25.00	    9.66	    6.21	   -1.31
7	   30.00	   30.00	   30.00	   11.55	    5.68	   -1.92
8	   35.00	   35.00	   35.00	   13.51	    5.76	   -2.20
9	   40.00	   40.00	   40.00	   15.63	    5.45	   -1.86
10	   45.00	   45.00	   45.00	   18.13	    5.14	   -1.49
11	   50.00	   50.00	   50.00	   20.70	    4.38	   -2.18
12	   55.00	   55.00	   55.00	   22.77	    4.24	   -2.01
13	   60.00	   60.00	   60.00	   24.97	    3.41	   -1.59
14	   65.00	   65.00	   65.00	   27.08	    3.58	   -1.49
15	   70.00	   70.00	   70.00	   29.25	    3.37	   -1.26
16	   75.00	   75.00	   75.00	   31.33	    3.53	   -1.59
17	   80.00	   80.00	   80.00	   33.93	    3.13	   -1.16
18	   85.00	   85.00	   85.00	   35.60	    3.07	   -0.91
19	   90.00	   90.00	   90.00	   37.57	    2.82	   -0.48
20	   95.00	   95.00	   95.00	   39.58	    2.91	   -0.12
21	  100.00	  100.00	  100.00	   41.75	    2.10	    0.45
22	  105.00	  105.00	  105.00	   43.59	    1.90	    0.89
23	  110.00	  110.00	  110.00	   45.19	    1.45	    0.75
24	  115.00	  115.00	  115.00	   47.55	    1.26	    0.95
25	  120.00	  120.00	  120.00	   49.07	    1.04	    1.68
26	  125.00	  125.00	  125.00	   51.10	    0.56	    1.76
27	  130.00	  130.00	  130.00	   52.97	    0.60	    2.57
28	  135.00	  135.00	  135.00	   54.54	    0.25	    2.72
29	  140.00	  140.00	  140.00	   56.82	    0.06	    2.38
30	  145.00	  145.00	  145.00	   58.30	   -0.31	    2.52
31	  150.00	  150.00	  150.00	   59.92	   -0.11	    2.80
32	  155.00	  155.00	  155.00	   61.98	   -0.12	    2.88
33	  160.00	  160.00	  160.00	   63.76	   -0.22	    2.68
34	  165.00	  165.00	  165.00	   65.42	   -0.92	    2.55
35	  170.00	  170.00	  170.00	   66.88	   -0.50	    2.20
36	  175.00	  175.00	  175.00	   69.32	   -0.75	    2.33
37	  180.00	  180.00	  180.00	   70.92	   -0.50	    1.87
38	  185.00	  185.00	  185.00	   72.20	   -0.41	    1.86
39	  190.00	  190.00	  190.00	   73.31	   -0.50	    1.15
40	  195.00	  195.00	  195.00	   75.20	   -0.82	    1.15
41	  200.00	  200.00	  200.00	   76.87	   -1.09	    0.70
42	  205.00	  205.00	  205.00	   78.03	   -0.60	    0.43
43	  210.00	  210.00	  210.00	   79.67	   -0.85	   -0.10
