NUMBER_OF_FIELDS 4
BEGIN_DATA_FORMAT
SampleID	RGB_R	RGB_G	RGB_B
END_DATA_FORMAT

NUMBER_OF_SETS	1914
BEGIN_DATA
1	 44.00	117.00	  0.00
2	  3.00	114.00	 97.00
3	110.00	100.00	 53.00
4	 51.00	 54.00	  0.00
5	120.00	 54.00	  0.00
6	111.00	112.00	116.00
7	 57.00	 53.00	 55.00
8	  0.00	 24.00	  2.00
9	115.00	  1.00	189.00
10	  3.00	  0.00	  0.00
11	 51.00	255.00	204.00
12	128.00	128.00	200.00
13	116.00	 87.00	134.00
14	 83.00	 88.00	139.00
15	180.00	134.00	 42.00
16	255.00	  0.00	182.00
17	  7.00	 59.00	 60.00
18	219.00	 36.00	 73.00
19	237.00	 55.00	200.00
20	164.00	237.00	 91.00
21	146.00	 36.00	255.00
22	228.00	175.00	239.00
23	200.00	200.00	 18.00
24	128.00	 91.00	237.00
25	 63.00	 51.00	 51.00
26	109.00	182.00	182.00
27	182.00	182.00	146.00
28	131.00	101.00	203.00
29	158.00	167.00	223.00
30	179.00	128.00	230.00
31	255.00	  0.00	219.00
32	146.00	109.00	146.00
33	182.00	219.00	 36.00
34	146.00	146.00	146.00
35	  0.00	 65.00	 46.00
36	116.00	138.00	150.00
37	 67.00	 74.00	 41.00
38	 73.00	219.00	255.00
39	142.00	154.00	142.00
40	193.00	137.00	173.00
41	 36.00	182.00	146.00
42	128.00	128.00	230.00
43	 55.00	 18.00	 55.00
44	219.00	255.00	 36.00
45	255.00	153.00	102.00
46	  0.00	109.00	182.00
47	 36.00	255.00	146.00
48	102.00	  0.00	102.00
49	182.00	255.00	 73.00
50	116.00	180.00	 48.00
51	 55.00	128.00	200.00
52	 73.00	 73.00	109.00
53	  5.00	  0.00	 40.00
54	 36.00	 36.00	  0.00
55	225.00	255.00	205.00
56	 36.00	 73.00	 73.00
57	 55.00	164.00	200.00
58	 30.00	 30.00	 30.00
59	200.00	143.00	180.00
60	  7.00	190.00	185.00
61	230.00	230.00	230.00
62	186.00	182.00	211.00
63	102.00	255.00	204.00
64	 73.00	  0.00	  0.00
65	102.00	 51.00	204.00
66	237.00	 91.00	164.00
67	 25.00	 89.00	208.00
68	161.00	197.00	210.00
69	 51.00	153.00	 51.00
70	 92.00	152.00	 40.00
71	200.00	128.00	164.00
72	146.00	  0.00	146.00
73	 36.00	182.00	219.00
74	148.00	155.00	114.00
75	  3.00	 84.00	112.00
76	109.00	255.00	182.00
77	204.00	153.00	  0.00
78	204.00	102.00	255.00
79	219.00	219.00	219.00
80	 91.00	 91.00	128.00
81	153.00	220.00	162.00
82	237.00	 91.00	 91.00
83	 68.00	 75.00	126.00
84	102.00	189.00	232.00
85	 73.00	255.00	  0.00
86	  0.00	255.00	219.00
87	 73.00	146.00	109.00
88	182.00	182.00	  0.00
89	196.00	 71.00	  5.00
90	182.00	109.00	 73.00
91	230.00	230.00	128.00
92	128.00	 26.00	 26.00
93	204.00	204.00	 51.00
94	219.00	219.00	109.00
95	 36.00	109.00	219.00
96	255.00	 73.00	  0.00
97	182.00	109.00	255.00
98	 75.00	114.00	 64.00
99	132.00	 60.00	102.00
100	 73.00	109.00	146.00
101	128.00	237.00	128.00
102	  0.00	182.00	146.00
103	 19.00	 84.00	 68.00
104	244.00	161.00	  9.00
105	255.00	219.00	146.00
106	219.00	146.00	109.00
107	  0.00	 36.00	255.00
108	164.00	237.00	128.00
109	  0.00	146.00	109.00
110	 73.00	  0.00	182.00
111	 73.00	219.00	 73.00
112	230.00	230.00	230.00
113	 29.00	 52.00	208.00
114	  0.00	 17.00	 53.00
